Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
17.5253,18.1358,17.9783,18.8541,17.1964,13.68,20.6762,16.4432,22.5943,116.118,107.857,116.079,107.94,
17.416,13.6161,17.0805,17.9878,16.2858,17.8555,18.7241,20.602,22.432,115.834,107.956,115.808,108.141,
17.8409,16.927,22.3119,20.538,18.5874,16.0313,17.2325,13.4845,17.6911,115.843,108.144,115.535,108.329,
15.8712,16.7662,13.4136,18.4552,17.5908,17.639,22.1011,17.0994,20.433,115.429,108.303,115.315,108.471,
20.3898,17.5289,17.49,13.3274,17.0023,21.9531,16.5952,15.61,18.2971,115.165,108.525,115.059,108.626,
16.8858,15.4565,17.3542,17.3469,21.7781,13.2153,16.4337,20.267,18.1523,114.93,108.534,114.797,108.774,
20.2066,13.1377,21.6207,18.0477,16.723,15.2011,17.1928,17.151,16.2649,114.77,108.923,114.56,108.9,
15.0538,21.4651,16.165,20.1077,17.0814,13.0251,17.0008,17.8793,16.5583,114.61,108.845,114.28,109.038,
12.947,14.8156,15.9948,16.4523,16.9281,21.23,17.7339,19.9797,16.7981,114.079,109.085,113.995,109.167,
14.5774,16.6767,19.8929,12.8172,16.7728,21.0247,16.2675,17.5608,15.7578,113.935,109.238,113.718,109.283,
20.8717,16.1489,16.4868,15.6286,16.6214,14.2953,19.7616,17.4006,12.6832,113.708,109.299,113.462,109.382,
16.5067,17.2889,15.9929,12.6039,20.6386,19.6539,16.273,15.4182,14.0267,113.351,109.544,113.156,109.489,
16.1339,15.2821,15.8199,17.0937,16.2919,20.3985,19.51,13.7683,12.4439,113.119,109.538,112.816,109.595,
15.6475,16.1398,16.9057,15.0506,19.3871,20.1639,15.8482,13.5124,12.3173,112.788,109.682,112.524,109.676,
20.0017,14.8836,15.4613,13.3172,12.2273,16.7035,15.6571,19.2435,15.9175,112.548,109.586,112.268,109.739,
12.1423,15.8203,16.5676,15.302,19.7617,14.6738,13.0569,19.1185,15.445,112.091,109.863,111.967,109.805,
14.5218,16.3846,19.0109,15.119,12.8269,11.989,15.5952,19.4903,15.2352,111.75,109.926,111.667,109.86,
14.3226,19.3345,16.1862,14.9375,12.571,18.8483,15.0496,15.4069,11.8403,111.666,109.858,111.371,109.906,
19.1121,14.7706,11.7544,12.3257,14.0748,18.6945,15.2307,15.9437,14.8123,111.275,109.98,111.071,109.942,
15.105,14.681,15.8021,11.6225,13.8665,12.0278,14.5255,18.7814,18.515,110.894,109.845,110.749,109.972,
15.5966,14.8857,11.7895,18.5802,18.3842,13.6227,11.448,14.3017,14.3412,110.636,110.097,110.402,109.992,
18.345,18.2305,14.149,15.3402,11.465,14.6332,13.3887,11.2942,14.0934,110.36,110.183,110.062,110,
