Distance host 0(m),Distance host 1(m),Distance host 2(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
5.01448,5.53897,6.15729,101.384,95.0002,101.386,95,
5.01478,5.54046,6.15819,101.387,94.9996,101.39,95,
5.01508,5.54226,6.15909,101.391,94.9998,101.394,95,
6.15984,5.54406,5.01553,101.395,95.0012,101.398,95,
6.16074,5.54586,5.01583,101.4,95.0014,101.402,95,
6.16163,5.54736,5.01613,101.403,95.0008,101.405,95,
5.01628,6.16253,5.54931,101.408,95.0011,101.409,95,
5.55036,6.16343,5.01673,101.41,94.9996,101.413,95,
5.01688,5.55246,6.16448,101.415,94.9993,101.417,95,
5.01733,6.16538,5.55455,101.42,95.0007,101.422,95,
5.55605,6.16643,5.01778,101.423,94.9995,101.426,95,
5.55755,5.01808,6.16748,101.426,94.998,101.43,95,
5.01838,5.5598,6.16838,101.432,94.9994,101.434,95,
6.16898,5.01883,5.5616,101.436,95.0018,101.438,95,
5.01898,5.5631,6.17018,101.439,94.999,101.442,95,
5.5646,6.17093,5.01943,101.443,94.9997,101.446,95,
5.01972,6.17183,5.5667,101.448,95.0007,101.449,95,
5.02017,5.5682,6.17288,101.451,94.9995,101.453,95,
5.56954,6.17363,5.02062,101.453,94.9998,101.457,95,
5.57134,6.17453,5.02092,101.458,95,101.461,95,
6.17542,5.02122,5.57359,101.463,95.0015,101.465,95,
6.17632,5.02152,5.57524,101.467,95.0013,101.469,95,
5.02182,6.17737,5.57689,101.471,95.0001,101.473,95,
5.57809,6.17812,5.02242,101.473,95.0003,101.476,95,
5.57974,6.17902,5.02272,101.476,95.0001,101.48,95,
5.58154,5.02302,6.18007,101.481,94.9994,101.484,95,
5.58318,6.18097,5.02332,101.485,94.9992,101.488,95,
5.58483,6.18187,5.02377,101.488,94.9994,101.492,95,
5.58663,5.02407,6.18277,101.492,94.9996,101.495,95,
6.18352,5.58843,5.02452,101.496,95.0011,101.499,95,
6.18442,5.59008,5.02482,101.5,95.0009,101.503,95,
5.02512,6.18547,5.59218,101.505,95.0011,101.507,95,
6.18622,5.02557,5.59368,101.508,95.0018,101.51,95,
6.18712,5.02587,5.59533,101.512,95.0016,101.514,95,
5.02632,5.59698,6.18847,101.516,94.999,101.518,95,
5.59832,6.18907,5.02662,101.519,94.9998,101.521,95,
5.60012,5.02722,6.19026,101.522,94.9989,101.526,95,
5.02752,6.19116,5.60237,101.528,95.0004,101.53,95,
6.19206,5.02797,5.60432,101.532,95.0014,101.534,95,
5.60552,5.02842,6.19326,101.534,94.9985,101.537,95,
6.19386,5.60732,5.02872,101.539,95.0005,101.541,95,
5.02917,5.60912,6.19506,101.542,94.9993,101.545,95,
5.02962,5.61107,6.19611,101.547,94.9994,101.549,95,
5.03007,6.19701,5.61316,101.552,95.0008,101.553,95,
6.19791,5.03052,5.61466,101.555,95.0006,101.557,95,
5.61601,5.03082,6.19896,101.558,94.9986,101.561,95,
6.19971,5.61796,5.03142,101.562,95.001,101.564,95,
6.20061,5.03172,5.61976,101.566,95.0012,101.568,95,
5.03217,5.62141,6.20181,101.569,94.9995,101.572,95,
5.03247,5.62321,6.20286,101.574,94.9988,101.576,95,
5.03307,6.20361,5.62516,101.578,95.0012,101.579,95,
5.03337,5.62665,6.20465,101.581,94.9996,101.583,95,
5.628,5.03382,6.20555,101.584,94.999,101.587,95,
6.20645,5.6301,5.03441,101.588,95.0008,101.591,95,
5.6316,6.2075,5.03471,101.592,94.9993,101.595,95,
5.6334,5.03531,6.20855,101.595,94.9993,101.598,95,
5.03561,5.6352,6.2096,101.6,94.9986,101.602,95,
6.2102,5.63775,5.03636,101.605,95.004,101.61,95,
5.03696,5.6406,6.2126,101.611,94.9986,101.614,95,
6.21335,5.64239,5.03771,101.615,95.0009,101.617,95,
5.03801,5.64449,6.2147,101.62,94.9992,101.623,95,
5.03846,5.64659,6.21575,101.624,94.9998,101.626,95,
5.64809,5.03921,6.21695,101.627,94.9984,101.63,95,
5.03951,6.21785,5.65034,101.632,94.9999,101.634,95,
5.03996,5.65169,6.21874,101.635,94.9993,101.637,95,
5.04041,6.21964,5.65364,101.639,95.0003,101.641,95,
5.04086,5.65514,6.22069,101.643,94.9992,101.645,95,
6.22129,5.65663,5.04131,101.646,95.0008,101.648,95,
6.22234,5.04191,5.65873,101.65,95.0018,101.652,95,
6.22339,5.04251,5.66068,101.654,95.0023,101.656,95,
5.66203,6.22459,5.04296,101.657,94.9997,101.66,95,
5.04326,6.22564,5.66413,101.662,94.9999,101.664,95,
6.22654,5.66578,5.04401,101.665,95.0009,101.668,95,
5.04431,6.22759,5.66773,101.67,95.0006,101.671,95,
5.04476,6.22864,5.66953,101.673,95.0003,101.675,95,
5.04536,5.67132,6.22984,101.677,94.9995,101.679,95,
6.23059,5.04596,5.67342,101.682,95.0022,101.683,95,
6.23164,5.04641,5.67507,101.685,95.0015,101.687,95,
5.04686,6.23284,5.67687,101.689,95.0003,101.691,95,
6.23358,5.04746,5.67852,101.692,95.0018,101.694,95,
5.04791,5.68002,6.23493,101.695,94.9988,101.698,95,
5.68167,6.23583,5.0485,101.698,94.9994,101.702,95,
5.68347,5.0491,6.23703,101.702,94.9985,101.705,95,
5.04955,6.23793,5.68571,101.707,95.0004,101.709,95,
6.23868,5.05,5.68751,101.711,95.002,101.713,95,
6.23973,5.0506,5.68916,101.714,95.0017,101.716,95,
5.69036,5.0512,6.24108,101.716,94.9982,101.72,95,
5.69246,5.05165,6.24213,101.721,94.9987,101.724,95,
5.69441,5.05225,6.24333,101.725,94.9983,101.728,95,
5.05285,6.24423,5.69681,101.731,95.001,101.732,95,
5.69831,6.24543,5.05345,101.733,94.9993,101.736,95,
5.0539,6.24648,5.7007,101.739,95.0008,101.74,95,
6.24738,5.70235,5.05465,101.742,95.0017,101.744,95,
5.70385,5.0551,6.24887,101.745,94.9978,101.748,95,
6.24962,5.0557,5.7064,101.751,95.0019,101.752,95,
6.25067,5.70805,5.05645,101.754,95.0019,101.756,95,
5.0569,6.25202,5.7103,101.759,95.001,101.76,95,
